University_uni,Faculty,Department,City,Type,Founded_Year_clean,University_clean,Stream,College Type,University_stream,Minimum Absolute Score,Minimum Percentage (%),Stream_Type
ain shams university,Faculty of Arts,History,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Arts,History,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Arts,Philosophy,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Arts,Philosophy,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Arts,Philosophy,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Arts,Psychology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Arts,Psychology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Arts,Psychology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Pharmacy,Pharmaceutical Chemistry,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Pharmacy,Pharmaceutical Chemistry,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Pharmacy,Pharmaceutical Chemistry,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Pharmacy,Pharmacology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Pharmacy,Pharmacology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Pharmacy,Pharmacology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Pharmacy,Pharmaceutics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Pharmacy,Pharmaceutics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Pharmacy,Pharmaceutics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Pharmacy,Microbiology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Pharmacy,Microbiology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Pharmacy,Microbiology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Computers and Information,Computer Science,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Computers and Information,Computer Science,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Computers and Information,Computer Science,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Computers and Information,Information Systems,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Computers and Information,Information Systems,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Computers and Information,Information Systems,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Computers and Information,Software Engineering,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Computers and Information,Software Engineering,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Computers and Information,Software Engineering,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Mass Communication,Journalism,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Mass Communication,Journalism,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Mass Communication,Journalism,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Mass Communication,Radio & TV,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Mass Communication,Radio & TV,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Mass Communication,Radio & TV,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Mass Communication,Public Relations,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Mass Communication,Public Relations,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Mass Communication,Public Relations,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Mass Communication,Advertising,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Mass Communication,Advertising,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Mass Communication,Advertising,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Nursing,Medical-Surgical Nursing,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Nursing,Medical-Surgical Nursing,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Nursing,Medical-Surgical Nursing,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Nursing,Pediatric Nursing,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Nursing,Pediatric Nursing,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Nursing,Pediatric Nursing,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Nursing,Psychiatric Nursing,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Nursing,Psychiatric Nursing,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Nursing,Psychiatric Nursing,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Physiotherapy,Orthopedics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Physiotherapy,Orthopedics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Physiotherapy,Orthopedics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Physiotherapy,Neurology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Physiotherapy,Neurology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Physiotherapy,Neurology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Physiotherapy,Cardiopulmonary,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Physiotherapy,Cardiopulmonary,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Physiotherapy,Cardiopulmonary,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Physiotherapy,Pediatrics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Physiotherapy,Pediatrics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Physiotherapy,Pediatrics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Oral and Dental Medicine,Orthodontics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Oral and Dental Medicine,Orthodontics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Oral and Dental Medicine,Orthodontics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Oral and Dental Medicine,Oral Surgery,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Oral and Dental Medicine,Oral Surgery,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Oral and Dental Medicine,Oral Surgery,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Oral and Dental Medicine,Periodontology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Oral and Dental Medicine,Periodontology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Oral and Dental Medicine,Periodontology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Veterinary Medicine,Anatomy,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Veterinary Medicine,Anatomy,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Veterinary Medicine,Anatomy,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Veterinary Medicine,Physiology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Veterinary Medicine,Physiology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Veterinary Medicine,Physiology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Veterinary Medicine,Pathology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Veterinary Medicine,Pathology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Veterinary Medicine,Pathology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Veterinary Medicine,Surgery,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Veterinary Medicine,Surgery,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Veterinary Medicine,Surgery,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Veterinary Medicine,Public Health,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Veterinary Medicine,Public Health,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Veterinary Medicine,Public Health,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Dar El-Ulum,Islamic Studies,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Dar El-Ulum,Islamic Studies,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
